scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
A/20250321/2650,2025-03-06,2025-03-21,PHISHING,SMS,SMS,BANK TRANSFER,UOB,35797279,+6592743303,NA,NA,https://secure-dbs-login.com/verify,1602.14,"I received an SMS from +6592743303 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $1602.14 was made to UOB account 35797279 on 2025-03-06.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
A/20250312/7291,2025-02-17,2025-03-12,PHISHING,SMS,SMS,BANK TRANSFER,CITIBANK,02933334,+6590149283,NA,NA,https://secure-dbs-login.com/verify,2106.87,"I received an SMS from +6590149283 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CITIBANK. 
The transaction is as follows:
A transaction of $2106.87 was made to CITIBANK account 02933334 on 2025-02-17.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
A/20250216/7615,2025-01-26,2025-02-16,PHISHING,SMS,SMS,BANK TRANSFER,SCB,49446657,+6597829893,NA,NA,https://secure-dbs-login.com/verify,2133.81,"I received an SMS from +6597829893 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $2133.81 was made to SCB account 49446657 on 2025-01-26.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
A/20250309/2598,2025-02-10,2025-03-09,PHISHING,SMS,SMS,BANK TRANSFER,UOB,85899441,+6595641903,NA,NA,https://secure-dbs-login.com/verify,1460.08,"I received an SMS from +6595641903 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $1460.08 was made to UOB account 85899441 on 2025-02-10.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
J/20250516/2267,2025-04-18,2025-05-16,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,32830965,+6598344531,NA,NA,https://secure-dbs-login.com/verify,263.08,"I received an SMS from +6598344531 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $263.08 was made to MAYBANK account 32830965 on 2025-04-18.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
J/20250120/2397,2025-01-06,2025-01-20,PHISHING,SMS,SMS,BANK TRANSFER,UOB,99353875,+6599365848,NA,NA,https://secure-dbs-login.com/verify,2664.84,"I received an SMS from +6599365848 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2664.84 was made to UOB account 99353875 on 2025-01-06.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
E/20250327/7758,2025-03-11,2025-03-27,PHISHING,SMS,SMS,BANK TRANSFER,GXS,25135346,+6594371458,NA,NA,https://secure-dbs-login.com/verify,1761.31,"I received an SMS from +6594371458 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $1761.31 was made to GXS account 25135346 on 2025-03-11.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
A/20250222/7481,2025-01-25,2025-02-22,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,99173816,+6590907009,NA,NA,https://secure-dbs-login.com/verify,2067.94,"I received an SMS from +6590907009 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $2067.94 was made to TRUST account 99173816 on 2025-01-25.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
F/20250222/2583,2025-02-11,2025-02-22,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,52175250,+6594589036,NA,NA,https://secure-dbs-login.com/verify,2553.93,"I received an SMS from +6594589036 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $2553.93 was made to HSBC account 52175250 on 2025-02-11.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
A/20250119/7501,2025-01-13,2025-01-19,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,96666760,+6596259602,NA,NA,https://secure-dbs-login.com/verify,2097.3,"I received an SMS from +6596259602 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $2097.30 was made to HSBC account 96666760 on 2025-01-13.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
J/20250430/7018,2025-04-05,2025-04-30,PHISHING,SMS,SMS,BANK TRANSFER,UOB,33542168,+6591095334,NA,NA,https://secure-dbs-login.com/verify,364.68,"I received an SMS from +6591095334 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $364.68 was made to UOB account 33542168 on 2025-04-05.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
J/20250529/2444,2025-05-14,2025-05-29,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,57532603,+6593543184,NA,NA,https://secure-dbs-login.com/verify,1398.15,"I received an SMS from +6593543184 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $1398.15 was made to HSBC account 57532603 on 2025-05-14.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250607/7126,2025-05-21,2025-06-07,PHISHING,SMS,SMS,BANK TRANSFER,UOB,64890901,+6591942630,NA,NA,https://secure-dbs-login.com/verify,2544.01,"I received an SMS from +6591942630 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2544.01 was made to UOB account 64890901 on 2025-05-21.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
J/20250623/2485,2025-06-19,2025-06-23,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,30461849,+6591760168,NA,NA,https://secure-dbs-login.com/verify,1058.09,"I received an SMS from +6591760168 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $1058.09 was made to HSBC account 30461849 on 2025-06-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
A/20250527/2116,2025-05-23,2025-05-27,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,39348356,+6590661118,NA,NA,https://secure-dbs-login.com/verify,2977.27,"I received an SMS from +6590661118 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $2977.27 was made to CIMB account 39348356 on 2025-05-23.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
D/20250712/2338,2025-07-05,2025-07-12,PHISHING,SMS,SMS,BANK TRANSFER,UOB,01197218,+6594293157,NA,NA,https://secure-dbs-login.com/verify,2841.19,"I received an SMS from +6594293157 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2841.19 was made to UOB account 01197218 on 2025-07-05.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
A/20250629/2475,2025-06-19,2025-06-29,PHISHING,SMS,SMS,BANK TRANSFER,DBS,20455611,+6592321873,NA,NA,https://secure-dbs-login.com/verify,133.0,"I received an SMS from +6592321873 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $133.00 was made to DBS account 20455611 on 2025-06-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
F/20250217/2915,2025-02-06,2025-02-17,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,41552166,+6596471232,NA,NA,https://secure-dbs-login.com/verify,2123.13,"I received an SMS from +6596471232 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $2123.13 was made to TRUST account 41552166 on 2025-02-06.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
D/20250704/2664,2025-06-08,2025-07-04,PHISHING,SMS,SMS,BANK TRANSFER,DBS,20216979,+6596371160,NA,NA,https://secure-dbs-login.com/verify,2548.42,"I received an SMS from +6596371160 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $2548.42 was made to DBS account 20216979 on 2025-06-08.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
F/20250208/7494,2025-01-11,2025-02-08,PHISHING,SMS,SMS,BANK TRANSFER,DBS,67014508,+6598709047,NA,NA,https://secure-dbs-login.com/verify,1269.13,"I received an SMS from +6598709047 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $1269.13 was made to DBS account 67014508 on 2025-01-11.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
J/20250208/7443,2025-01-19,2025-02-08,PHISHING,SMS,SMS,BANK TRANSFER,SCB,75628900,+6598318729,NA,NA,https://secure-dbs-login.com/verify,2468.41,"I received an SMS from +6598318729 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $2468.41 was made to SCB account 75628900 on 2025-01-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250514/2246,2025-04-28,2025-05-14,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,08386631,+6599613930,NA,NA,https://secure-dbs-login.com/verify,869.64,"I received an SMS from +6599613930 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $869.64 was made to MAYBANK account 08386631 on 2025-04-28.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
A/20250510/2323,2025-04-24,2025-05-10,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,01660880,+6598528492,NA,NA,https://secure-dbs-login.com/verify,1518.09,"I received an SMS from +6598528492 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $1518.09 was made to CIMB account 01660880 on 2025-04-24.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250713/2973,2025-06-21,2025-07-13,PHISHING,SMS,SMS,BANK TRANSFER,BOC,03758997,+6591912994,NA,NA,https://secure-dbs-login.com/verify,322.09,"I received an SMS from +6591912994 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $322.09 was made to BOC account 03758997 on 2025-06-21.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
E/20250201/7349,2025-01-24,2025-02-01,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,88510272,+6594266266,NA,NA,https://secure-dbs-login.com/verify,1216.9,"I received an SMS from +6594266266 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $1216.90 was made to MAYBANK account 88510272 on 2025-01-24.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
F/20250711/2220,2025-07-07,2025-07-11,PHISHING,SMS,SMS,BANK TRANSFER,SCB,51609177,+6590072773,NA,NA,https://secure-dbs-login.com/verify,1942.43,"I received an SMS from +6590072773 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $1942.43 was made to SCB account 51609177 on 2025-07-07.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
G/20250505/2858,2025-04-17,2025-05-05,PHISHING,SMS,SMS,BANK TRANSFER,CIMB,82922169,+6597024028,NA,NA,https://secure-dbs-login.com/verify,2432.66,"I received an SMS from +6597024028 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a CIMB. 
The transaction is as follows:
A transaction of $2432.66 was made to CIMB account 82922169 on 2025-04-17.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
F/20250422/7280,2025-03-28,2025-04-22,PHISHING,SMS,SMS,BANK TRANSFER,BOC,47226984,+6593370359,NA,NA,https://secure-dbs-login.com/verify,287.38,"I received an SMS from +6593370359 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $287.38 was made to BOC account 47226984 on 2025-03-28.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
J/20250426/2943,2025-04-16,2025-04-26,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,28851587,+6597086467,NA,NA,https://secure-dbs-login.com/verify,885.73,"I received an SMS from +6597086467 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $885.73 was made to HSBC account 28851587 on 2025-04-16.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
A/20250309/2148,2025-03-08,2025-03-09,PHISHING,SMS,SMS,BANK TRANSFER,UOB,34244204,+6596017692,NA,NA,https://secure-dbs-login.com/verify,2084.49,"I received an SMS from +6596017692 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a UOB. 
The transaction is as follows:
A transaction of $2084.49 was made to UOB account 34244204 on 2025-03-08.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
J/20250612/7760,2025-05-15,2025-06-12,PHISHING,SMS,SMS,BANK TRANSFER,GXS,63840666,+6590217520,NA,NA,https://secure-dbs-login.com/verify,2355.82,"I received an SMS from +6590217520 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $2355.82 was made to GXS account 63840666 on 2025-05-15.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
D/20250401/2849,2025-03-12,2025-04-01,PHISHING,SMS,SMS,BANK TRANSFER,BOC,98933472,+6592915798,NA,NA,https://secure-dbs-login.com/verify,821.39,"I received an SMS from +6592915798 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a BOC. 
The transaction is as follows:
A transaction of $821.39 was made to BOC account 98933472 on 2025-03-12.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
E/20250614/7438,2025-06-01,2025-06-14,PHISHING,SMS,SMS,BANK TRANSFER,GXS,42294057,+6592578714,NA,NA,https://secure-dbs-login.com/verify,1408.92,"I received an SMS from +6592578714 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $1408.92 was made to GXS account 42294057 on 2025-06-01.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,PAYMENT FAILED
G/20250513/2502,2025-04-18,2025-05-13,PHISHING,SMS,SMS,BANK TRANSFER,GXS,51583281,+6599111373,NA,NA,https://secure-dbs-login.com/verify,363.73,"I received an SMS from +6599111373 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $363.73 was made to GXS account 51583281 on 2025-04-18.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
