first_name,last_name,nric,sex,dob,nationality,race,occupation,contact_no,email,blk,street,unit_no,postcode
EMMA,GOMES,S8094079F,FEMALE,1980-10-20,SINGAPOREAN,EURASIAN,STUDENT,+6595561881,emma_gomes@hotmail.com,441,ORCHARD RD,19-38,275645
HASSAN,BIN ABDULLAH,S8701929X,MALE,1987-03-06,SINGAPOREAN,MALAY,SECURITY GUARD,+6598482495,h.binabdullah@hotmail.com,88,KALLANG BAHRU,18-33,238976
TING YAN,LEE,S8137239X,FEMALE,1981-01-17,SINGAPOREAN,CHINESE,RETAIL MANAGER,+6595752034,ty.lee@outlook.com,96,CLEMENTI AVE,39-20,978302
ARJUN,SINGH,G9742860J,MALE,1997-09-01,INDIAN,INDIAN,FREELANCE WRITER,+6595056101,a.singh@outlook.com,497,COMMONWEALTH AVE,35-30,498249
CLARA,SANTOS,G0241496O,FEMALE,2002-11-23,FILIPINO,FILIPINO,DOCTOR,+6595936250,c.santos@hotmail.com,989,KALLANG BAHRU,28-79,783740
MEENA,KUMAR,G7075344G,FEMALE,1970-06-10,MALAYSIAN,INDIAN,OFFICE CLERK,+6599187414,meena_kumar@gmail.com,20,BALESTIER RD,01-09,112542
HASSAN,BINTE RAHMAN,S4812447V,MALE,1948-12-28,SINGAPOREAN,MALAY,MARKETING COORDINATOR,+6592012881,hassan_binterahman@yahoo.com.sg,98,KALLANG BAHRU,39-17,494220
ANNA,GARCIA,G7542717G,FEMALE,1975-05-12,FILIPINO,FILIPINO,BANK TELLER,+6592717339,anna.garcia@hotmail.com,809,BUKIT BATOK ST,18-08,501393
HAO LI,CHUA,T0570720B,MALE,2005-02-24,SINGAPOREAN,CHINESE,STUDENT,+6597408511,haoli_chua@hotmail.com,742,SENGKANG EAST WAY,07-05,176461
TING YAN,TAN,S8019855V,FEMALE,1980-09-01,SINGAPOREAN,CHINESE,SOFTWARE ENGINEER,+6597315833,tingyan_tan@outlook.com,423,KALLANG BAHRU,05-70,336817
YAN JIA,GOH,S7534615P,FEMALE,1975-02-11,SINGAPOREAN,CHINESE,UNEMPLOYED,+6597711468,yanjia.goh@outlook.com,788,UPPER BUKIT TIMAH RD,19-83,312987
SITI,BIN ABDULLAH,T0305050M,FEMALE,2003-05-03,SINGAPOREAN,MALAY,RETAIL MANAGER,+6598207960,s.binabdullah@gmail.com,408,BUKIT BATOK ST,35-83,422679
ANITA,RAO,S6279032A,FEMALE,1962-03-18,SINGAPOREAN,INDIAN,TEACHER,+6599719808,anita_rao@gmail.com,248,ADMIRALTY DR,05-05,871185
WEI XIN,NG,S4751982K,MALE,1947-02-24,SINGAPOREAN,CHINESE,UNEMPLOYED,+6591915617,wx.ng@outlook.com,519,EUNOS CRESCENT,15-09,943530
MEENA,KUMAR,G8890219M,FEMALE,1988-05-20,MALAYSIAN,INDIAN,CALL CENTER AGENT,+6592369560,m.kumar@yahoo.com.sg,785,SERANGOON RD,11-90,487896
AHMAD,BIN ABDULLAH,G8732487N,MALE,1987-12-28,MALAYSIAN,MALAY,FACTORY WORKER,+6599961145,a.binabdullah@yahoo.com.sg,918,TAMPINES ST,27-89,946632
YAN JIA,CHAN,S6795883O,FEMALE,1967-11-18,SINGAPOREAN,CHINESE,UNEMPLOYED,+6595053293,yanjia_chan@gmail.com,366,SERANGOON RD,01-72,347085
HAO WEI,NG,G8045970D,MALE,1980-09-11,MALAYSIAN,CHINESE,SOCIAL MEDIA MANAGER,+6592958222,haowei.ng@outlook.com,173,BALESTIER RD,03-07,776185
JAMES,DAVIS,G6715313X,MALE,1967-05-01,MALAYSIAN,OTHER,RETIRED,+6597462856,j.davis@yahoo.com.sg,616,MARINE PARADE RD,21-54,308405
JIA TING,CHAN,S9854352B,FEMALE,1998-03-16,SINGAPOREAN,CHINESE,BANK TELLER,+6593626649,jt.chan@yahoo.com.sg,960,EUNOS CRESCENT,30-23,506145
XIN XIN,CHUA,S9587397O,MALE,1995-04-23,SINGAPOREAN,CHINESE,DOCTOR,+6594951988,xinxin.chua@outlook.com,628,HOUGANG AVE,11-74,679606
PRIYA,KUMAR,T0380686P,FEMALE,2003-04-24,SINGAPOREAN,INDIAN,ELECTRICIAN,+6599928280,priya.kumar@outlook.com,978,CLEMENTI AVE,37-01,538065
XIN HAO,LIM,G6574279X,MALE,1965-12-21,MALAYSIAN,CHINESE,GRAPHIC DESIGNER,+6596821919,xinhao.lim@gmail.com,982,JURONG WEST ST,09-46,410158
JAMES,GOMES,S9680464W,MALE,1996-11-16,SINGAPOREAN,EURASIAN,BANK TELLER,+6597789590,james_gomes@hotmail.com,730,QUEENSTOWN RD,01-81,174132
CLARA,SANTOS,G7555281R,FEMALE,1975-01-29,FILIPINO,FILIPINO,BANK TELLER,+6598635845,c.santos@gmail.com,978,ADMIRALTY DR,24-07,216356
SITI,BIN ABDULLAH,G8340155O,FEMALE,1983-12-26,MALAYSIAN,MALAY,MAINTENANCE TECHNICIAN,+6593519758,siti_binabdullah@outlook.com,781,COMMONWEALTH AVE,15-42,469844
HASSAN,BIN ISMAIL,S7611241W,MALE,1976-12-10,SINGAPOREAN,MALAY,BANK TELLER,+6591101048,hassan.binismail@hotmail.com,202,BOON LAY WAY,30-12,184064
WEI MIN,CHUA,S6203856S,MALE,1962-03-09,SINGAPOREAN,CHINESE,SOFTWARE ENGINEER,+6597950805,weimin.chua@gmail.com,365,SERANGOON RD,29-95,776000
HASSAN,BINTE ZAINAL,S8325472T,MALE,1983-03-09,SINGAPOREAN,MALAY,BANK TELLER,+6595142132,h.bintezainal@gmail.com,185,CHINATOWN POINT,17-30,607765
JOSE,REYES,G8855257R,MALE,1988-01-22,FILIPINO,FILIPINO,UNEMPLOYED,+6595312100,jose_reyes@gmail.com,598,CLEMENTI AVE,29-34,487629
MOHAMMAD,RAHMAN,G4949297K,MALE,1949-08-23,BANGLADESHI,BANGLADESHI,MARKETING COORDINATOR,+6595372365,m.rahman@outlook.com,169,ANG MO KIO AVE,35-65,447372
PRIYA,RAO,S7498343A,FEMALE,1974-01-13,SINGAPOREAN,INDIAN,MARKETING EXECUTIVE,+6596738231,priya.rao@yahoo.com.sg,642,TIONG BAHRU RD,15-58,474754
PRIYA,MENON,S8065045L,FEMALE,1980-06-11,SINGAPOREAN,INDIAN,RETIRED,+6598582482,p.menon@hotmail.com,976,BEDOK NORTH RD,24-51,255132
JIA YAN,CHAN,S5823478K,FEMALE,1958-08-15,SINGAPOREAN,CHINESE,TEACHER,+6594842475,jiayan_chan@gmail.com,177,CHINATOWN POINT,28-94,534313
EMMA,PEREIRA,S7387049J,FEMALE,1973-08-01,SINGAPOREAN,EURASIAN,UNEMPLOYED,+6592934217,e.pereira@hotmail.com,579,TOA PAYOH LOR,37-97,243578
ARJUN,KUMAR,T0501471T,MALE,2005-11-22,SINGAPOREAN,INDIAN,RETAIL MANAGER,+6597927925,arjun_kumar@yahoo.com.sg,137,QUEENSTOWN RD,19-54,288085
TING YAN,CHAN,G4872520I,FEMALE,1948-07-10,MALAYSIAN,CHINESE,ACCOUNTANT,+6598598757,tingyan.chan@hotmail.com,760,MARINE PARADE RD,02-34,270757
NUR,BIN ISMAIL,T0554451R,FEMALE,2005-02-09,SINGAPOREAN,MALAY,ACCOUNTANT,+6598621249,nur.binismail@hotmail.com,208,UPPER BUKIT TIMAH RD,12-98,199099
RAHUL,NAIR,S5867112A,MALE,1958-06-24,SINGAPOREAN,INDIAN,CLEANER,+6592735175,rahul_nair@gmail.com,114,JURONG WEST ST,10-65,331854
XIN LI,GOH,S9416110Y,MALE,1994-01-15,SINGAPOREAN,CHINESE,FREELANCER,+6591989725,xinli.goh@yahoo.com.sg,237,CLEMENTI AVE,10-89,337580
WEI LI,TAN,S7393250C,MALE,1973-01-23,SINGAPOREAN,CHINESE,FACTORY WORKER,+6591111446,weili_tan@yahoo.com.sg,318,BALESTIER RD,01-97,201191
RAHUL,NAIR,T0134280X,MALE,2001-11-10,SINGAPOREAN,INDIAN,SOFTWARE DEVELOPER,+6594057108,rahul.nair@yahoo.com.sg,527,MARINE PARADE RD,05-13,959398
XIN MIN,NG,S6871827Y,MALE,1968-04-02,SINGAPOREAN,CHINESE,OFFICE CLERK,+6595952931,xm.ng@gmail.com,398,SERANGOON RD,14-66,338607
JIA TING,CHAN,S9417520V,FEMALE,1994-08-22,SINGAPOREAN,CHINESE,OFFICE CLERK,+6595234607,jt.chan@yahoo.com.sg,713,TIONG BAHRU RD,29-29,680822
WEI WEI,NG,S8336749S,MALE,1983-02-22,SINGAPOREAN,CHINESE,ACCOUNTANT,+6592830705,ww.ng@gmail.com,76,ORCHARD RD,13-44,309991
ANITA,NAIR,S8473201X,FEMALE,1984-07-26,SINGAPOREAN,INDIAN,SALES MANAGER,+6598129112,a.nair@outlook.com,533,SENGKANG EAST WAY,10-99,576719
JIA TING,GOH,T0477848K,FEMALE,2004-11-15,SINGAPOREAN,CHINESE,FACTORY WORKER,+6591616210,jiating.goh@hotmail.com,788,BUKIT BATOK ST,34-99,616096
WEI XIN,LIM,G7576246P,MALE,1975-07-12,MALAYSIAN,CHINESE,LOGISTICS COORDINATOR,+6597424860,wx.lim@yahoo.com.sg,480,BEDOK NORTH RD,03-23,683707
LI LI,CHAN,G7050090E,MALE,1970-09-17,MALAYSIAN,CHINESE,SECURITY GUARD,+6590935113,ll.chan@hotmail.com,410,SENGKANG EAST WAY,32-76,496149
NUR,BIN ISMAIL,G7891141K,FEMALE,1978-06-26,MALAYSIAN,MALAY,GRAPHIC DESIGNER,+6595995607,nur_binismail@hotmail.com,431,ORCHARD RD,04-85,356092
HASSAN,BINTE ZAINAL,S7891713K,MALE,1978-05-17,SINGAPOREAN,MALAY,BANK TELLER,+6590342293,h.bintezainal@hotmail.com,722,WOODLANDS DR,38-03,431889
PRIYA,MENON,S9896391W,FEMALE,1998-04-14,SINGAPOREAN,INDIAN,FREELANCER,+6598337466,priya.menon@hotmail.com,660,KALLANG BAHRU,05-69,324479
ARJUN,MENON,G6085366I,MALE,1960-08-06,INDIAN,INDIAN,FREELANCER,+6593518839,a.menon@outlook.com,365,CHINATOWN POINT,05-84,963752
JIA JIA,NG,S7183572H,FEMALE,1971-12-05,SINGAPOREAN,CHINESE,CONSTRUCTION WORKER,+6597839914,jj.ng@gmail.com,284,ADMIRALTY DR,35-79,994199
MOHAMMAD,BINTE ZAINAL,S8763123A,MALE,1987-11-21,SINGAPOREAN,MALAY,TEACHER,+6593415137,mohammad_bintezainal@yahoo.com.sg,876,SERANGOON RD,18-37,777424
SANJAY,PILLAI,S6607001K,MALE,1966-04-14,SINGAPOREAN,INDIAN,FACTORY WORKER,+6592673591,sanjay_pillai@yahoo.com.sg,289,CLEMENTI AVE,02-34,928028
ANITA,NAIR,S6771391Y,FEMALE,1967-07-23,SINGAPOREAN,INDIAN,SHOP ASSISTANT,+6592358208,anita_nair@hotmail.com,251,CHOA CHU KANG LOOP,37-95,624548
FATIMAH,BINTE RAHMAN,G5178515R,FEMALE,1951-03-15,MALAYSIAN,MALAY,CUSTOMER SERVICE OFFICER,+6591792041,fatimah_binterahman@gmail.com,189,JURONG WEST ST,18-57,528212
SITI,BIN ISMAIL,S7648645Z,FEMALE,1976-06-06,SINGAPOREAN,MALAY,RETIRED,+6590353566,siti.binismail@yahoo.com.sg,670,BOON LAY WAY,39-05,982348
MOHAMMAD,BINTE ZAINAL,S9756041Y,MALE,1997-05-11,SINGAPOREAN,MALAY,DOCTOR,+6595048065,mohammad.bintezainal@outlook.com,102,ADMIRALTY DR,16-39,320606
JUAN,GARCIA,G4870027Z,MALE,1948-03-23,FILIPINO,FILIPINO,RETIRED,+6594378351,juan_garcia@hotmail.com,528,BUKIT BATOK ST,23-54,731364
MIN MIN,LIM,S9242954G,MALE,1992-09-21,SINGAPOREAN,CHINESE,NURSE,+6592182597,minmin_lim@yahoo.com.sg,877,EUNOS CRESCENT,27-41,573421
XIN LI,LEE,S8569694E,MALE,1985-10-13,SINGAPOREAN,CHINESE,CUSTOMER SUPPORT SPECIALIST,+6593837070,xinli.lee@gmail.com,938,BUKIT BATOK ST,30-26,374499
JIA JIA,CHUA,S5962639G,FEMALE,1959-12-11,SINGAPOREAN,CHINESE,FACTORY WORKER,+6598290445,jj.chua@outlook.com,131,PASIR RIS DR,14-25,952924
CHARLOTTE,JOHNSON,G6910725W,FEMALE,1969-01-15,BRITISH,CAUCASIAN,ACCOUNTANT,+6594868629,charlotte_johnson@outlook.com,278,PASIR RIS DR,29-32,487593
XIN LI,WONG,T0204896J,MALE,2002-01-31,SINGAPOREAN,CHINESE,ELECTRICIAN,+6590874304,xinli_wong@gmail.com,350,ADMIRALTY DR,16-61,471512
RAHIM,HOSSAIN,G7324150E,MALE,1973-03-28,BANGLADESHI,BANGLADESHI,MARKETING EXECUTIVE,+6598451467,rahim_hossain@outlook.com,514,ADMIRALTY DR,22-60,238327
MICHAEL,GOMES,S9387032B,MALE,1993-11-10,SINGAPOREAN,EURASIAN,RETIRED,+6594425123,m.gomes@yahoo.com.sg,539,YISHUN RING RD,28-22,430870
XIN XIN,LIM,S6015134F,MALE,1960-01-21,SINGAPOREAN,CHINESE,RETAIL MANAGER,+6597407471,xinxin_lim@yahoo.com.sg,375,JALAN BESAR,36-63,579995
MEENA,RAO,G8350416L,FEMALE,1983-01-03,MALAYSIAN,INDIAN,GRAPHIC DESIGNER,+6598825074,m.rao@gmail.com,795,MARINE PARADE RD,12-54,180567
EMMA,PEREIRA,T0759230Z,FEMALE,2007-12-04,SINGAPOREAN,EURASIAN,SOFTWARE ENGINEER,+6598050632,emma.pereira@outlook.com,474,QUEENSTOWN RD,18-77,789969
WEI LI,CHUA,S9364214P,MALE,1993-04-02,SINGAPOREAN,CHINESE,LAWYER,+6594027876,weili.chua@outlook.com,998,UPPER BUKIT TIMAH RD,26-12,121508
MEENA,MENON,G0616592N,FEMALE,2006-02-19,MALAYSIAN,INDIAN,NURSE,+6596164902,meena_menon@outlook.com,534,JURONG WEST ST,32-58,506941
XIN HAO,NG,S6122438N,MALE,1961-11-19,SINGAPOREAN,CHINESE,MAINTENANCE TECHNICIAN,+6598802632,xh.ng@hotmail.com,95,TAMPINES ST,30-56,183029
WEI LI,LIM,S7817226B,MALE,1978-02-18,SINGAPOREAN,CHINESE,CUSTOMER SERVICE OFFICER,+6597795642,weili.lim@gmail.com,686,COMMONWEALTH AVE,37-33,472724
SANJAY,RAO,S7368006D,MALE,1973-06-24,SINGAPOREAN,INDIAN,CUSTOMER SERVICE OFFICER,+6593140556,sanjay_rao@gmail.com,226,HOUGANG AVE,06-96,733395
MOHAMMAD,BINTE ZAINAL,T0430372U,MALE,2004-07-03,SINGAPOREAN,MALAY,SOFTWARE ENGINEER,+6596626953,mohammad.bintezainal@gmail.com,833,TAMPINES ST,06-17,241677
MEENA,KUMAR,S9970793G,FEMALE,1999-03-17,SINGAPOREAN,INDIAN,RETIRED,+6597952217,m.kumar@outlook.com,442,ANG MO KIO AVE,08-22,259826
RAHUL,SINGH,T0776789X,MALE,2007-08-10,SINGAPOREAN,INDIAN,CALL CENTER AGENT,+6596974052,r.singh@gmail.com,878,WOODLANDS DR,38-77,866591
FATIMAH,BINTE RAHMAN,S6117957W,FEMALE,1961-01-10,SINGAPOREAN,MALAY,DRIVER,+6597080061,f.binterahman@outlook.com,600,YISHUN RING RD,36-09,380859
TING TING,CHAN,S9257293J,FEMALE,1992-10-27,SINGAPOREAN,CHINESE,RETIRED,+6595690043,tt.chan@outlook.com,953,EUNOS CRESCENT,30-17,407645
HAO HAO,NG,S6852280Z,MALE,1968-07-31,SINGAPOREAN,CHINESE,ELECTRICIAN,+6598283332,hh.ng@hotmail.com,320,PASIR RIS DR,14-72,149334
JIA YAN,LEE,S7507711Z,FEMALE,1975-07-01,SINGAPOREAN,CHINESE,DOCTOR,+6590783099,jiayan_lee@gmail.com,798,BOON LAY WAY,36-35,258522
MEENA,SINGH,S7012552D,FEMALE,1970-11-19,SINGAPOREAN,INDIAN,FREELANCER,+6591980707,m.singh@outlook.com,901,JURONG WEST ST,24-21,863729
ARJUN,KUMAR,G6032863E,MALE,1960-06-23,INDIAN,INDIAN,RETIRED,+6594811005,a.kumar@hotmail.com,527,HOUGANG AVE,06-35,490527
XIN LI,GOH,G5960602S,MALE,1959-03-16,MALAYSIAN,CHINESE,DELIVERY DRIVER,+6590166911,xl.goh@yahoo.com.sg,744,CHINATOWN POINT,34-09,188896
AISYAH,BINTE ZAINAL,S8273899U,FEMALE,1982-06-05,SINGAPOREAN,MALAY,SECURITY GUARD,+6595262932,aisyah.bintezainal@outlook.com,941,ORCHARD RD,01-36,653429
YAN TING,LEE,S4785200Z,FEMALE,1947-01-19,SINGAPOREAN,CHINESE,FREELANCER,+6599016637,yanting.lee@hotmail.com,352,GEYLANG RD,09-67,667059
TING YAN,CHUA,S4874907K,FEMALE,1948-01-31,SINGAPOREAN,CHINESE,STUDENT,+6596257547,tingyan_chua@gmail.com,275,QUEENSTOWN RD,33-46,229827
FATIMA,KHAN,G0657126N,FEMALE,2006-10-21,BANGLADESHI,BANGLADESHI,SALES MANAGER,+6592348331,fatima_khan@yahoo.com.sg,741,GEYLANG RD,34-95,359662
TING JIA,CHAN,T0677622Q,FEMALE,2006-09-27,SINGAPOREAN,CHINESE,ACCOUNTANT,+6596757085,tingjia_chan@outlook.com,612,BISHAN ST,34-51,376502
ARJUN,RAO,T0059408E,MALE,2000-01-17,SINGAPOREAN,INDIAN,LAWYER,+6592631333,arjun.rao@gmail.com,976,BISHAN ST,24-16,730823
MIN XIN,TAN,S4901851B,MALE,1949-10-29,SINGAPOREAN,CHINESE,UNEMPLOYED,+6597075907,minxin_tan@outlook.com,59,ADMIRALTY DR,20-37,326053
AISYAH,BINTE ZAINAL,S8419966H,FEMALE,1984-03-08,SINGAPOREAN,MALAY,LOGISTICS COORDINATOR,+6592324018,aisyah.bintezainal@hotmail.com,526,QUEENSTOWN RD,30-98,571785
SANJAY,RAO,G8739890S,MALE,1987-03-26,INDIAN,INDIAN,SALES MANAGER,+6590416143,sanjay_rao@gmail.com,595,QUEENSTOWN RD,20-72,776498
ARJUN,SINGH,S8218956S,MALE,1982-04-03,SINGAPOREAN,INDIAN,CUSTOMER SUPPORT SPECIALIST,+6590318323,arjun_singh@outlook.com,291,CHINATOWN POINT,14-32,969993
SANJAY,KUMAR,S8141246V,MALE,1981-06-12,SINGAPOREAN,INDIAN,TEACHER,+6596409080,sanjay.kumar@yahoo.com.sg,273,BUKIT BATOK ST,08-13,668096
AHMAD,BIN ABDULLAH,S8833993P,MALE,1988-06-12,SINGAPOREAN,MALAY,ADMINISTRATIVE OFFICER,+6592390091,ahmad.binabdullah@gmail.com,432,BOON LAY WAY,21-34,493754
AISYAH,BIN ABDULLAH,T0289138U,FEMALE,2002-07-28,SINGAPOREAN,MALAY,MAINTENANCE TECHNICIAN,+6591098206,aisyah.binabdullah@hotmail.com,505,ANG MO KIO AVE,27-82,345094
AHMAD,BINTE RAHMAN,G4900794U,MALE,1949-07-11,MALAYSIAN,MALAY,WAREHOUSE WORKER,+6599067074,ahmad_binterahman@outlook.com,182,CHINATOWN POINT,16-69,544336
AYESHA,KHAN,G7741612X,FEMALE,1977-06-29,BANGLADESHI,BANGLADESHI,TEACHER,+6593569422,ayesha_khan@gmail.com,609,TIONG BAHRU RD,33-37,147694
LI LI,GOH,S5537950W,MALE,1955-11-22,SINGAPOREAN,CHINESE,LOGISTICS COORDINATOR,+6594384902,ll.goh@hotmail.com,780,JALAN BESAR,29-35,357874
EMMA,PEREIRA,S7880715M,FEMALE,1978-10-12,SINGAPOREAN,EURASIAN,DRIVER,+6598203667,emma_pereira@gmail.com,790,GEYLANG RD,35-11,925549
WEI WEI,CHAN,G7131943H,MALE,1971-08-16,MALAYSIAN,CHINESE,FREELANCE WRITER,+6590157090,weiwei_chan@hotmail.com,236,COMMONWEALTH AVE,02-98,394790
MICHAEL,BROWN,G0519212I,MALE,2005-07-22,BANGLADESHI,OTHER,TEACHER,+6591861373,michael.brown@yahoo.com.sg,900,SENGKANG EAST WAY,37-65,618008
CLARA,CRUZ,G0656641V,FEMALE,2006-01-12,FILIPINO,FILIPINO,ADMINISTRATIVE OFFICER,+6598941274,clara_cruz@gmail.com,639,SENGKANG EAST WAY,36-59,102049
AHMAD,BINTE RAHMAN,S9836133F,MALE,1998-09-30,SINGAPOREAN,MALAY,MARKETING EXECUTIVE,+6597530646,ahmad_binterahman@gmail.com,333,ANG MO KIO AVE,26-25,450964
JIA TING,CHUA,S6358319T,FEMALE,1963-11-17,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,+6595608665,jt.chua@gmail.com,870,SENGKANG EAST WAY,16-14,596580
WEI WEI,TAN,S5711080J,MALE,1957-06-10,SINGAPOREAN,CHINESE,FREELANCER,+6591090992,weiwei_tan@outlook.com,811,CLEMENTI AVE,04-57,157450
ANITA,KUMAR,G6478593D,FEMALE,1964-01-06,INDIAN,INDIAN,MARKETING EXECUTIVE,+6597606978,anita_kumar@gmail.com,403,TOA PAYOH LOR,28-80,749310
AHMAD,BINTE RAHMAN,S7324968U,MALE,1973-07-01,SINGAPOREAN,MALAY,TEACHER,+6597063325,ahmad.binterahman@gmail.com,502,COMMONWEALTH AVE,29-24,354963
SITI,BINTE RAHMAN,G8488065G,FEMALE,1984-06-24,MALAYSIAN,MALAY,LOGISTICS COORDINATOR,+6594883242,siti.binterahman@yahoo.com.sg,387,ANG MO KIO AVE,34-76,789624
MOHAMMAD,KHAN,G0065217Z,MALE,2000-12-21,BANGLADESHI,BANGLADESHI,WAREHOUSE WORKER,+6597841710,mohammad_khan@hotmail.com,624,JALAN BESAR,22-75,693595
CLARA,REYES,G7950150R,FEMALE,1979-11-16,FILIPINO,FILIPINO,RETAIL ASSISTANT,+6593575870,clara.reyes@gmail.com,254,WOODLANDS DR,22-95,494172
