vic_first_name,vic_last_name,vic_nric,vic_sex,vic_dob,vic_nationality,vic_race,vic_occupation,vic_contact_no,vic_email,vic_blk,vic_street,vic_unit_no,vic_postal_code,scam_report_no,scam_incident_date,scam_report_date,scam_type,scam_approach_platform,scam_communication_platform,scam_transaction_type,scam_beneficiary_platform,scam_beneficiary_identifier,scam_contact_no,scam_email,scam_moniker,scam_url_link,scam_amount_lost,scam_incident_description,scam_subcategory,scam_item_involved,scam_item_type,scam_impersonation_type,scam_first_impersonated_entity,scam_first_impersonated_entity_name,scam_second_impersonated_entity,scam_second_impersonated_entity_name,scam_phished_details,scam_use_of_phished_details,scam_pretext_for_phishing
SOPHIA,GOMES,S4726801Q,FEMALE,1947-03-06,SINGAPOREAN,EURASIAN,CALL CENTER AGENT,+6595318841,sophia.gomes@yahoo.com.sg,667,BUKIT BATOK ST,#29-60,813145,G/20250624/2459,2025-06-14,2025-06-24,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,32983248,+6592435253,NA,NA,https://secure-dbs-login.com/verify,1413.19,"I received an SMS from +6592435253 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $1413.19 was made to HSBC account 32983248 on 2025-06-14.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,OUTSTANDING BILLS
AISYAH,BIN ABDULLAH,S8570462Y,FEMALE,1985-04-22,SINGAPOREAN,MALAY,OFFICE CLERK,+6599702453,aisyah.binabdullah@gmail.com,84,BEDOK NORTH RD,#28-45,834406,D/20250413/7852,2025-03-31,2025-04-13,PHISHING,SMS,SMS,BANK TRANSFER,SCB,55770272,+6597758960,NA,NA,https://secure-dbs-login.com/verify,1810.51,"I received an SMS from +6597758960 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a SCB. 
The transaction is as follows:
A transaction of $1810.51 was made to SCB account 55770272 on 2025-03-31.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
JAMES,JOHNSON,G8818909U,MALE,1988-02-22,AMERICAN,CAUCASIAN,SECURITY GUARD,+6595257165,james.johnson@yahoo.com.sg,386,BOON LAY WAY,#20-18,501312,J/20250613/2413,2025-05-28,2025-06-13,PHISHING,SMS,SMS,BANK TRANSFER,DBS,83067198,+6595080612,NA,NA,https://secure-dbs-login.com/verify,1552.92,"I received an SMS from +6595080612 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a DBS. 
The transaction is as follows:
A transaction of $1552.92 was made to DBS account 83067198 on 2025-05-28.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
YAN YAN,CHUA,S5529619J,FEMALE,1955-01-16,SINGAPOREAN,CHINESE,TEACHER,+6594585666,yy.chua@outlook.com,812,TOA PAYOH LOR,#32-30,473095,F/20250227/2335,2025-02-23,2025-02-27,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,13290227,NA,NA,peggy98,https://www.deals4u-9704.shop/durians,2022.22,"I saw an ad for discounted food items on Facebook posted by 'peggy98'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9704.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a UOB. The transaction is as follows:
A transaction of $2022.22 was made to UOB account 13290227 on 2025-02-23.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
VIKRAM,MENON,G9094738H,MALE,1990-04-03,INDIAN,INDIAN,ACCOUNTANT,+6592777286,vikram.menon@outlook.com,748,TOA PAYOH LOR,#03-53,481995,E/20250320/7238,2025-02-19,2025-03-20,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,19693157,+6599667576,NA,NA,https://secure-dbs-login.com/verify,2906.19,"I received an SMS from +6599667576 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $2906.19 was made to MAYBANK account 19693157 on 2025-02-19.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
AISYAH,BIN ISMAIL,G7809728U,FEMALE,1978-10-26,MALAYSIAN,MALAY,NURSE,+6595161977,aisyah_binismail@yahoo.com.sg,825,BOON LAY WAY,#02-77,597643,J/20250212/2092,2025-01-22,2025-02-12,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,GXS,12982665,NA,NA,jameswarren,https://www.deals4u-8387.shop/durians,2613.64,"I saw an ad for discounted food items on Facebook posted by 'jameswarren'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-8387.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a GXS. The transaction is as follows:
A transaction of $2613.64 was made to GXS account 12982665 on 2025-01-22.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
AHMAD,BINTE ZAINAL,S9041541L,MALE,1990-08-14,SINGAPOREAN,MALAY,LOGISTICS COORDINATOR,+6597659103,a.bintezainal@yahoo.com.sg,10,SERANGOON RD,#13-89,238320,F/20250221/7553,2025-02-17,2025-02-21,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,SCB,91741011,NA,NA,gnicholson,https://www.deals4u-5105.shop/durians,101.25,"I saw an ad for discounted food items on Facebook posted by 'gnicholson'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-5105.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a SCB. The transaction is as follows:
A transaction of $101.25 was made to SCB account 91741011 on 2025-02-17.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
MIN LI,LIM,S7562244I,MALE,1975-07-17,SINGAPOREAN,CHINESE,FREELANCE WRITER,+6590207041,minli.lim@yahoo.com.sg,308,SERANGOON RD,#25-11,860053,E/20250620/2063,2025-05-23,2025-06-20,PHISHING,SMS,SMS,BANK TRANSFER,GXS,00851403,+6595337290,NA,NA,https://secure-dbs-login.com/verify,2581.57,"I received an SMS from +6595337290 claiming to be from DBS, stating that there was outstanding bills that needed to be paid. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $2581.57 was made to GXS account 00851403 on 2025-05-23.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,OUTSTANDING BILLS
PRIYA,PILLAI,S6013529B,FEMALE,1960-10-25,SINGAPOREAN,INDIAN,SECURITY GUARD,+6596724393,p.pillai@gmail.com,557,PUNGGOL WAY,#27-70,138551,F/20250525/7581,2025-05-23,2025-05-25,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,BOC,19712847,NA,NA,patrickthomas,https://www.deals4u-9469.shop/durians,2517.88,"I saw an ad for discounted food items on Facebook posted by 'patrickthomas'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9469.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a BOC. The transaction is as follows:
A transaction of $2517.88 was made to BOC account 19712847 on 2025-05-23.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
LI HAO,NG,S6988767N,MALE,1969-04-06,SINGAPOREAN,CHINESE,CALL CENTER AGENT,+6595277776,lihao.ng@outlook.com,872,TOA PAYOH LOR,#04-46,110048,J/20250119/2487,2025-01-03,2025-01-19,PHISHING,SMS,SMS,BANK TRANSFER,GXS,36674286,+6597529960,NA,NA,https://secure-dbs-login.com/verify,1011.04,"I received an SMS from +6597529960 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my card credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a GXS. 
The transaction is as follows:
A transaction of $1011.04 was made to GXS account 36674286 on 2025-01-03.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
AYESHA,RAHMAN,G7426206Z,FEMALE,1974-06-14,BANGLADESHI,BANGLADESHI,IT SUPPORT,+6594788474,ayesha_rahman@gmail.com,671,BEDOK NORTH RD,#06-84,702022,D/20250328/2037,2025-03-26,2025-03-28,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,99451016,NA,NA,sbrown,https://www.deals4u-3920.shop/durians,2147.35,"I saw an ad for discounted food items on Facebook posted by 'sbrown'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-3920.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a UOB. The transaction is as follows:
A transaction of $2147.35 was made to UOB account 99451016 on 2025-03-26.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
MICHAEL,PEREIRA,T0065060S,MALE,2000-11-01,SINGAPOREAN,EURASIAN,STUDENT,+6597895137,m.pereira@hotmail.com,302,BISHAN ST,#01-14,551860,F/20250315/7437,2025-02-28,2025-03-15,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,96569998,NA,NA,zhancock,https://www.deals4u-9605.shop/durians,2730.15,"I saw an ad for discounted food items on Facebook posted by 'zhancock'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9605.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a UOB. The transaction is as follows:
A transaction of $2730.15 was made to UOB account 96569998 on 2025-02-28.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
HASSAN,BINTE RAHMAN,S9929014O,MALE,1999-06-24,SINGAPOREAN,MALAY,OFFICE CLERK,+6592640889,hassan.binterahman@yahoo.com.sg,388,TAMPINES ST,#21-73,725185,G/20250221/7070,2025-02-01,2025-02-21,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,HSBC,74485708,NA,NA,mjackson,https://www.deals4u-7210.shop/durians,2031.43,"I saw an ad for discounted food items on Facebook posted by 'mjackson'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-7210.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a HSBC. The transaction is as follows:
A transaction of $2031.43 was made to HSBC account 74485708 on 2025-02-01.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
FATIMAH,BINTE RAHMAN,G6231203Q,FEMALE,1962-11-25,MALAYSIAN,MALAY,SECURITY GUARD,+6590985360,f.binterahman@yahoo.com.sg,546,BEDOK NORTH RD,#05-86,150871,F/20250225/7997,2025-02-18,2025-02-25,PHISHING,SMS,SMS,BANK TRANSFER,TRUST,21717477,+6592411249,NA,NA,https://secure-dbs-login.com/verify,441.42,"I received an SMS from +6592411249 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to log in to my account from another device, resulting in an unauthorized transaction to a TRUST. 
The transaction is as follows:
A transaction of $441.42 was made to TRUST account 21717477 on 2025-02-18.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,UNAUTHORIZED ACCESS TO BANK ACCOUNT
SANJAY,MENON,S8965431A,MALE,1989-12-14,SINGAPOREAN,INDIAN,OFFICE CLERK,+6597548448,sanjay.menon@hotmail.com,981,ORCHARD RD,#24-57,900152,G/20250710/2496,2025-06-11,2025-07-10,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,GXS,12387800,NA,NA,carrie66,https://www.deals4u-5053.shop/durians,379.76,"I saw an ad for discounted food items on Facebook posted by 'carrie66'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-5053.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a GXS. The transaction is as follows:
A transaction of $379.76 was made to GXS account 12387800 on 2025-06-11.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
MIN HAO,LIM,S8803432Y,MALE,1988-05-25,SINGAPOREAN,CHINESE,RETAIL MANAGER,+6599951141,minhao_lim@gmail.com,508,PUNGGOL WAY,#20-06,331230,G/20250411/2794,2025-04-10,2025-04-11,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,SCB,51863878,NA,NA,davisroberto,https://www.deals4u-3525.shop/durians,2686.97,"I saw an ad for discounted food items on Facebook posted by 'davisroberto'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-3525.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a SCB. The transaction is as follows:
A transaction of $2686.97 was made to SCB account 51863878 on 2025-04-10.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
SITI,BINTE RAHMAN,S8178291C,FEMALE,1981-04-25,SINGAPOREAN,MALAY,CALL CENTER AGENT,+6592036124,s.binterahman@hotmail.com,215,CHINATOWN POINT,#09-31,928766,D/20250517/2230,2025-05-16,2025-05-17,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,BOC,62168936,NA,NA,daniel74,https://www.deals4u-4938.shop/durians,2921.17,"I saw an ad for discounted food items on Facebook posted by 'daniel74'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-4938.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a BOC. The transaction is as follows:
A transaction of $2921.17 was made to BOC account 62168936 on 2025-05-16.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
PRIYA,RAO,S5689297Z,FEMALE,1956-02-02,SINGAPOREAN,INDIAN,NURSE,+6598966154,p.rao@hotmail.com,417,JURONG WEST ST,#28-28,618746,F/20250205/7391,2025-01-27,2025-02-05,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,BOC,04427173,NA,NA,kleinamber,https://www.deals4u-7432.shop/durians,1976.29,"I saw an ad for discounted food items on Facebook posted by 'kleinamber'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-7432.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a BOC. The transaction is as follows:
A transaction of $1976.29 was made to BOC account 04427173 on 2025-01-27.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
SANJAY,NAIR,S7602970E,MALE,1976-11-10,SINGAPOREAN,INDIAN,SOFTWARE DEVELOPER,+6597297090,s.nair@yahoo.com.sg,291,QUEENSTOWN RD,#04-10,803787,A/20250511/2670,2025-05-09,2025-05-11,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,DBS,64510463,NA,NA,danielberger,https://www.deals4u-7237.shop/durians,1858.8,"I saw an ad for discounted food items on Facebook posted by 'danielberger'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-7237.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a DBS. The transaction is as follows:
A transaction of $1858.80 was made to DBS account 64510463 on 2025-05-09.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
XIN MIN,CHAN,S7640659M,MALE,1976-05-08,SINGAPOREAN,CHINESE,IT SUPPORT,+6594137094,xinmin.chan@yahoo.com.sg,748,QUEENSTOWN RD,#32-77,746624,D/20250611/2558,2025-05-29,2025-06-11,PHISHING,SMS,SMS,BANK TRANSFER,HSBC,72386562,+6592252801,NA,NA,https://secure-dbs-login.com/verify,135.15,"I received an SMS from +6592252801 claiming to be from DBS, stating that there was a failed payment attempt. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a HSBC. 
The transaction is as follows:
A transaction of $135.15 was made to HSBC account 72386562 on 2025-05-29.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,PAYMENT FAILED
MEENA,KUMAR,G4813395W,FEMALE,1948-11-30,INDIAN,INDIAN,RETAIL MANAGER,+6594152891,meena.kumar@outlook.com,314,KALLANG BAHRU,#03-58,375581,E/20250607/7532,2025-05-13,2025-06-07,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,HSBC,58001061,NA,NA,brandonjimenez,https://www.deals4u-9605.shop/durians,477.9,"I saw an ad for discounted food items on Facebook posted by 'brandonjimenez'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-9605.shop/durians) in the post, I was redirected to a site requesting my my banking credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a HSBC. The transaction is as follows:
A transaction of $477.90 was made to HSBC account 58001061 on 2025-05-13.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,BANKING CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
MIN WEI,GOH,S6979010I,MALE,1969-01-20,SINGAPOREAN,CHINESE,STUDENT,+6594813037,minwei_goh@outlook.com,949,TIONG BAHRU RD,#31-90,971482,F/20250421/7227,2025-04-06,2025-04-21,PHISHING,SMS,SMS,BANK TRANSFER,MAYBANK,62251790,+6591427388,NA,NA,https://secure-dbs-login.com/verify,1007.57,"I received an SMS from +6591427388 claiming to be from DBS, stating that there was unauthorized access to my bank account. 
It requested that I verify my identity via a provided link (https://secure-dbs-login.com/verify) to prevent unauthorized transactions. 
After clicking the link, I was directed to a website resembling DBS's official website, where I provided my my banking credentials. 
Subsequently, my credentials were used to increase my account transfer limit, resulting in an unauthorized transaction to a MAYBANK. 
The transaction is as follows:
A transaction of $1007.57 was made to MAYBANK account 62251790 on 2025-04-06.
",SMS BANK PHISHING,NA,NA,LEGITIMATE ENTITY,DBS,DBS,NA,NA,BANKING CREDENTIALS,INCREASE TRANSFER LIMIT,UNAUTHORIZED ACCESS TO BANK ACCOUNT
MIN LI,CHUA,S9147772X,MALE,1991-06-18,SINGAPOREAN,CHINESE,SOFTWARE DEVELOPER,+6593859072,minli_chua@hotmail.com,398,MARINE PARADE RD,#16-64,677390,F/20250522/7108,2025-04-30,2025-05-22,PHISHING,FACEBOOK,FACEBOOK,BANK TRANSFER,UOB,16629979,NA,NA,franceslewis,https://www.deals4u-6826.shop/durians,2842.65,"I saw an ad for discounted food items on Facebook posted by 'franceslewis'. The seller was promoting the sale of durians.
Upon clicking the link (https://www.deals4u-6826.shop/durians) in the post, I was redirected to a site requesting my my card credentials to complete the purchase. 
After submitting my details, I received an SMS requesting to key in my Youtrip login code. I subsequently received an SMS that there had been a log in to my account from another device. 
Later, an unauthorized transaction was made to a UOB. The transaction is as follows:
A transaction of $2842.65 was made to UOB account 16629979 on 2025-04-30.
",SOCIAL MEDIA AD FOOD PHISHING,NA,NA,NA,NA,NA,NA,NA,CARD CREDENTIALS,LOG IN FROM ANOTHER DEVICE,DISCOUNTED FOOD ITEMS
SOPHIA,DE SOUZA,S8391043B,FEMALE,1983-08-04,SINGAPOREAN,EURASIAN,ELECTRICIAN,+6596130603,sophia.desouza@gmail.com,569,BALESTIER RD,#12-98,593894,A/20250718/2989,2025-06-30,2025-07-18,GOVERNMENT OFFICIALS IMPERSONATION,CALL,WHATSAPP,BANK TRANSFER,BOC,05061387,+6590621473,NA,NA,NA,61358.31,"I received a call from an individual named James Wong, who claimed to be from the Ministry of Manpower. He had contacted me using +6590621473. 
He claimed that workers employed under my details had work permit violations. 
When I denied knowledge of these workers, the call was transferred via WhatsApp to a second individual named Inspector Timothy Lee, claiming to be from the Singapore Police Force. 
He instructed me to transfer money to a bank account to support the investigations. As I was scared, I complied with his requests. As a result, I made the following transaction:
A transaction of $61358.31 was made to BOC account 05061387 on 2025-06-30.
I realized I had been scammed when the individuals became uncontactable. I also verified the situation with the Ministry of Manpower and Singapore Police Force, 
where there were no records of James Wong and Inspector Timothy Lee.
",MOM AND SPF IMPERSONATION,NA,NA,GOVERNMENT OFFICIAL,MINISTRY OF MANPOWER,JAMES WONG,SINGAPORE POLICE FORCE,INSPECTOR TIMOTHY LEE,NA,NA,NA
JAMES,FERNANDEZ,S6651870L,MALE,1966-04-02,SINGAPOREAN,EURASIAN,ADMINISTRATIVE OFFICER,+6593744423,j.fernandez@hotmail.com,833,PUNGGOL WAY,#03-52,172274,E/20250628/7642,2025-06-12,2025-06-28,GOVERNMENT OFFICIALS IMPERSONATION,WHATSAPP,WHATSAPP,BANK TRANSFER,CITIBANK,08331819,+6595836014,NA,NA,NA,1092.61,"I received a WhatsApp call from an individual named Gladys Lim, claiming to be a bank officer from UOB. He had contacted me using +6595836014.
He informed me of suspicious or fraudulent transactions detected in my bank account and asked me to confirm these transactions. 
When I denied knowledge of such transactions, the call was transferred to another individual named Inspector Thomas Lee via WhatsApp, claiming to be from the Monetary Authority of Singapore. 
They accused me of involvement in legal investigation and demanded that I transfer my bank funds to a ""safety account"" to assist with the investigations. 
Inspector Thomas Lee showed me his warrant card during the process and I believed him. I complied and transferred the funds, resulting in the following transaction:
A transaction of $1092.61 was made to CITIBANK account 08331819 on 2025-06-12.
I later realized I had been scammed when the individuals became uncontactable. I subsequently verified the situation with the bank and Singapore Police Force through official channels and 
there were no records of Gladys Lim and Inspector Thomas Lee.
",BANK AND SPF IMPERSONATION,NA,NA,GOVERNMENT OFFICIAL,UOB,GLADYS LIM,MONETARY AUTHORITY OF SINGAPORE,INSPECTOR THOMAS LEE,NA,NA,NA
AHMAD,BINTE RAHMAN,S4750583A,MALE,1947-03-08,SINGAPOREAN,MALAY,SECURITY GUARD,+6597276470,ahmad.binterahman@yahoo.com.sg,658,SERANGOON RD,#26-55,600590,F/20250330/2703,2025-03-10,2025-03-30,GOVERNMENT OFFICIALS IMPERSONATION,CALL,WHATSAPP,BANK TRANSFER,GXS,64631752,+6593789527,NA,NA,NA,2081.94,"I received a call from an individual named Gladys Lim, claiming to be a bank officer from OCBC. He had contacted me using +6593789527.
He informed me of suspicious or fraudulent transactions detected in my bank account and asked me to confirm these transactions. 
When I denied knowledge of such transactions, the call was transferred to another individual named Inspector Royston Wong via WhatsApp, claiming to be from the Singapore Police Force. 
They accused me of involvement in money laundering and demanded that I transfer my bank funds to a ""safety account"" to assist with the investigations. 
Inspector Royston Wong showed me his warrant card during the process and I believed him. I complied and transferred the funds, resulting in the following transaction:
A transaction of $2081.94 was made to GXS account 64631752 on 2025-03-10.
I later realized I had been scammed when the individuals became uncontactable. I subsequently verified the situation with the bank and Singapore Police Force through official channels and 
there were no records of Gladys Lim and Inspector Royston Wong.
",BANK AND SPF IMPERSONATION,NA,NA,GOVERNMENT OFFICIAL,OCBC,GLADYS LIM,SINGAPORE POLICE FORCE,INSPECTOR ROYSTON WONG,NA,NA,NA
